cohort,seed,mode,iteration,objective_value,best_objective,students_served,temperature
200,1337,Mode C,180.0,1934437.61,1934437.61,199.0,26.344722
200,1337,Mode C,190.0,1934451.82,1934451.82,199.0,21.525556
200,1337,Mode C,200.0,1934463.34,1934463.34,199.0,17.587947
200,1337,Mode C,210.0,1934463.34,1934463.34,199.0,14.370633
200,2000,Mode A,10.0,1584530.08,1584530.08,164.0,817.072807
200,2000,Mode A,20.0,1794524.21,1794524.21,185.0,667.607972
200,2000,Mode A,30.0,1884515.4,1884515.4,194.0,545.484319
200,2000,Mode A,40.0,1924527.01,1924527.01,198.0,445.700404
200,2000,Mode A,50.0,1924527.01,1924527.01,198.0,364.16968
200,2000,Mode B,10.0,1759661.23,1759661.23,181.0,817.072807
200,2000,Mode B,20.0,1879644.78,1879644.78,193.0,667.607972
200,2000,Mode B,30.0,1889669.38,1889669.38,194.0,545.484319
200,2000,Mode B,40.0,1889687.18,1889687.18,194.0,445.700404
